Date,Open,High,Low,Close,Adj Close,Volume
6/16/11,127.059998,127.970001,126.32,127.300003,103.399086,308032800
6/17/11,127.93,127.940002,126.620003,127.050003,103.707626,233284900
6/20/11,126.620003,127.970001,126.580002,127.699997,104.238228,159479000
6/21/11,128.360001,129.699997,127.75,129.449997,105.666664,193157300
6/22/11,129.050003,129.809998,128.589996,128.669998,105.029968,176703000
6/23/11,127.160004,128.639999,126.190002,128.300003,104.727951,334286500
6/24/11,128.270004,128.369995,126.620003,126.809998,103.511711,226129300
6/27/11,126.889999,128.429993,126.639999,127.940002,104.434105,168904700
6/28/11,128.449997,129.630005,128.270004,129.610001,105.797272,165556300
6/29/11,130.199997,130.929993,129.630005,130.720001,106.703331,244295500
6/30/11,131.139999,132.179993,130.710007,131.970001,107.723656,223322700
7/1/11,132.089996,134.100006,131.779999,133.919998,109.315407,202385700
7/5/11,133.779999,134.080002,133.389999,133.809998,109.225609,165936000
7/6/11,133.490005,134.139999,133.110001,133.970001,109.356247,143331600
7/7/11,135.160004,135.699997,134.880005,135.360001,110.490883,170464200
7/8/11,133.830002,135.360001,133.389999,134.399994,109.70723,194100500
7/11/11,132.75,133.179993,131.660004,131.970001,107.723656,195918600
7/12/11,131.690002,132.779999,131.360001,131.399994,107.258415,214675700
7/13/11,132.089996,133.220001,131.520004,131.839996,107.617569,204062600
7/14/11,132.169998,132.779999,130.679993,130.929993,106.874771,226111800
7/15/11,131.660004,131.869995,130.770004,131.690002,107.495155,220012800
7/18/11,131.080002,131.279999,129.630005,130.610001,106.613548,196872100
7/19/11,131.339996,132.889999,131.309998,132.729996,108.34404,166554900
7/20/11,133.070007,133.149994,132.419998,132.649994,108.27877,137145400
7/21/11,133.399994,134.820007,132.669998,134.490005,109.780724,245246300
7/22/11,134.520004,134.720001,133.759995,134.580002,109.854149,126019400
7/25/11,133.300003,134.490005,133.160004,133.830002,109.241982,136653800
7/26/11,133.740005,133.960007,133.029999,133.330002,108.833832,131278200
7/27/11,132.589996,132.630005,130.429993,130.600006,106.605385,249020100
7/28/11,130.600006,131.770004,130.009995,130.220001,106.295189,207939900
7/29/11,128.910004,130.550003,127.970001,129.330002,105.568703,307038400
8/1/11,130.839996,130.960007,127.529999,128.779999,105.119766,325790900
8/2/11,127.809998,128.5,125.489998,125.489998,102.434235,346653800
8/3/11,125.660004,126.309998,123.529999,126.169998,102.989296,370830800
8/4/11,124.419998,124.620003,120.059998,120.260002,98.165131,520721800
8/5/11,121.760002,122.07,116.860001,120.080002,98.018196,655619200
8/8/11,116.910004,120.120003,112.019997,112.260002,91.634956,702263900
8/9/11,114.07,117.639999,110.269997,117.480003,95.895874,717828700
8/10/11,115.260002,116.279999,111.949997,112.290001,91.659424,662607400
8/11/11,113.260002,118.919998,112.32,117.330002,95.773438,487979700
8/12/11,118.400002,119.209999,117.279999,118.120003,96.418297,313731600
8/15/11,119.190002,120.739998,119,120.620003,98.459,258810600
8/16/11,119.470001,120.690002,118.309998,119.589996,97.61821,294095200
8/17/11,120.25,121.199997,118.720001,119.669998,97.683517,238201100
8/18/11,116.5,119.709999,113.389999,114.510002,93.471558,512956300
8/19/11,112.959999,115.879997,112.5,112.639999,91.945122,428281300
8/22/11,115.169998,115.230003,112.410004,112.730003,92.01857,275090600
8/23/11,113.150002,116.57,112.580002,116.440002,95.046928,331136600
8/24/11,116.190002,118.239998,115.919998,118.080002,96.385628,246869700
8/25/11,118.730003,119.400002,115.870003,116.279999,94.916367,312365400
8/26/11,115.690002,118.510002,113.849998,117.970001,96.295853,314495900
8/29/11,119.559998,121.43,118.059998,121.360001,99.063034,190977200
8/30/11,120.830002,122.43,119.260002,121.68,99.324249,241315700
8/31/11,122.459999,123.510002,121.300003,122.220001,99.76503,301828400
9/1/11,122.290001,123.400002,120.779999,120.940002,98.7202,254585900
9/2/11,118.419998,120.870003,117.43,117.849998,96.197906,255517200
9/6/11,114.389999,117.160004,114.379997,116.989998,95.495903,285130500
9/7/11,118.760002,120.339996,118.360001,120.290001,98.189613,209803200
9/8/11,119.57,120.940002,118.769997,119.040001,97.169281,250568200
9/9/11,117.68,119.059998,115.279999,115.919998,94.622505,380195100
9/12/11,114.470001,116.760002,114.050003,116.669998,95.234688,305793500
9/13/11,117.050003,118.18,116.220001,117.739998,96.108116,272514700
9/14/11,118.339996,120.800003,116.720001,119.370003,97.438652,319389500
